X1,X2,X3,Y,Nor _X1,Nor_X2,Nor_X3,Nor_Y,epoch:1,EPOCH:2
5045.91,5055.99,4997.35,5045.7,0.020995758,0.022361071,0.014418414,0.020967314,0.058912017,0.058940122
5045.7,5045.91,5055.99,4958.93,0.020967314,0.020995758,0.022361071,0.009214511,0.055883129,0.055907792
4958.93,5045.7,5045.91,4890.9,0.009214511,0.020967314,0.020995758,0,0.05109965,0.051116122
4890.9,4958.93,5045.7,4970.35,0,0.009214511,0.020967314,0.010761325,0.051056369,0.051070155
4970.35,4890.9,4958.93,5080.67,0.010761325,0,0.009214511,0.025703922,0.051088174,0.051103031
5080.67,4970.35,4890.9,5126.08,0.025703922,0.010761325,0,0.031854605,0.051141616,0.051159529
5126.08,5080.67,4970.35,5128.76,0.031854605,0.025703922,0.010761325,0.032217605,0.05119079,0.051211943
5128.76,5126.08,5080.67,5196.78,0.032217605,0.031854605,0.025703922,0.041430762,0.051221517,0.051244645
5196.78,5128.76,5126.08,5217.87,0.041430762,0.032217605,0.031854605,0.044287355,0.051280051,0.051306211
5217.87,5196.78,5128.76,5245.89,0.044287355,0.041430762,0.032217605,0.048082601,0.051293123,0.05132035
5245.89,5217.87,5196.78,5267.92,0.048082601,0.044287355,0.041430762,0.051066516,0.051330308,0.051359636
5267.92,5245.89,5217.87,5233.76,0.051066516,0.048082601,0.044287355,0.04643962,0.051350312,0.051380847
5233.76,5267.92,5245.89,5299.47,0.04643962,0.051066516,0.048082601,0.055339893,0.051334129,0.051364018
5299.47,5233.76,5267.92,5296.07,0.055339893,0.04643962,0.051066516,0.05487937,0.051386013,0.051418353
5296.07,5299.47,5233.76,5342.9,0.05487937,0.055339893,0.04643962,0.061222389,0.051372325,0.051404314
5342.9,5296.07,5299.47,5371.52,0.061222389,0.05487937,0.055339893,0.065098904,0.051422587,0.051457195
5371.52,5342.9,5296.07,5420.98,0.065098904,0.061222389,0.05487937,0.07179815,0.05143985,0.051475605
5420.98,5371.52,5342.9,5445.57,0.07179815,0.065098904,0.061222389,0.075128811,0.051485889,0.051524215
5445.57,5420.98,5371.52,5470.23,0.075128811,0.07179815,0.065098904,0.078468953,0.051509269,0.051549117
5470.23,5445.57,5420.98,5433.98,0.078468953,0.075128811,0.07179815,0.073558971,0.051539256,0.051580845
5433.98,5470.23,5445.57,5381.01,0.073558971,0.078468953,0.075128811,0.066384303,0.051520475,0.051561293
5381.01,5433.98,5470.23,5467.02,0.066384303,0.073558971,0.078468953,0.078034165,0.051492035,0.051531229
5467.02,5381.01,5433.98,5465.25,0.078034165,0.066384303,0.073558971,0.077794423,0.051542558,0.051583948
5465.25,5467.02,5381.01,5453.11,0.077794423,0.078034165,0.066384303,0.076150087,0.051524078,0.051564965
5453.11,5465.25,5467.02,5458.42,0.076150087,0.077794423,0.078034165,0.076869315,0.051539738,0.051581535
5458.42,5453.11,5465.25,5468.29,0.076869315,0.076150087,0.077794423,0.078206184,0.05154325,0.05158515
5468.29,5458.42,5453.11,5390.02,0.078206184,0.076869315,0.076150087,0.067604688,0.051546499,0.051588578
5390.02,5468.29,5458.42,5383.35,0.067604688,0.078206184,0.076869315,0.066701251,0.051493931,0.051533408
5383.35,5390.02,5468.29,5367.33,0.066701251,0.067604688,0.078206184,0.064531378,0.051494386,0.051533435
5367.33,5383.35,5390.02,5331.91,0.064531378,0.066701251,0.067604688,0.059733818,0.05146186,0.051499106
5331.91,5367.33,5383.35,5246.91,0.059733818,0.064531378,0.066701251,0.048220758,0.05143623,0.051472073
5246.91,5331.91,5367.33,5330.97,0.048220758,0.059733818,0.064531378,0.059606497,0.051374755,0.051407253
5330.97,5246.91,5331.91,5352.12,0.059606497,0.048220758,0.059733818,0.062471217,0.051424856,0.051459333
5352.12,5330.97,5246.91,5349.04,0.062471217,0.059606497,0.048220758,0.062054038,0.051413312,0.051447581
5349.04,5352.12,5330.97,5353.41,0.062054038,0.062471217,0.059606497,0.062645945,0.051433875,0.051469432
5353.41,5349.04,5352.12,5379.01,0.062645945,0.062054038,0.062471217,0.066113408,0.051442818,0.051478841
5379.01,5353.41,5349.04,5427.37,0.066113408,0.062645945,0.062054038,0.072663662,0.051459362,0.051496245
5427.37,5379.01,5353.41,5484.01,0.072663662,0.066113408,0.062645945,0.080335423,0.051492973,0.051531718
5484.01,5427.37,5379.01,5515.05,0.080335423,0.072663662,0.066113408,0.084539721,0.05153757,0.051578903
5515.05,5484.01,5427.37,5520.87,0.084539721,0.080335423,0.072663662,0.085328027,0.051570744,0.05161417
5520.87,5515.05,5484.01,5502.3,0.085328027,0.084539721,0.080335423,0.082812762,0.051589653,0.051634307
5502.3,5520.87,5515.05,5514.54,0.082812762,0.085328027,0.084539721,0.084470643,0.051585356,0.051629872
5514.54,5502.3,5520.87,5535.05,0.084470643,0.082812762,0.085328027,0.087248677,0.051595956,0.051640909
5535.05,5514.54,5502.3,5523.3,0.087248677,0.084470643,0.082812762,0.085657165,0.051604549,0.051649984
5523.3,5535.05,5514.54,5557.28,0.085657165,0.087248677,0.084470643,0.09025968,0.05159927,0.051644577
5557.28,5523.3,5535.05,5572.36,0.09025968,0.085657165,0.087248677,0.092302233,0.051628781,0.051675549
5572.36,5557.28,5523.3,5567.84,0.092302233,0.09025968,0.085657165,0.091690009,0.051634911,0.051682177
